[WARN] 2020-08-15 21:02:21,647 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT * FROM ALL_TABLES WHERE OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:21,810 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKA
[WARN] 2020-08-15 21:02:21,810 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKA
[WARN] 2020-08-15 21:02:21,812 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PASSWORDS
[WARN] 2020-08-15 21:02:21,812 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PASSWORDS
[WARN] 2020-08-15 21:02:21,812 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PASSWORDS
[WARN] 2020-08-15 21:02:21,813 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NLS_COPY
[WARN] 2020-08-15 21:02:21,813 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NLS_COPY
[WARN] 2020-08-15 21:02:21,813 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NLS_COPY
[WARN] 2020-08-15 21:02:21,813 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NLS_COPY
[WARN] 2020-08-15 21:02:21,814 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-15 21:02:21,814 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-15 21:02:21,814 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-15 21:02:21,814 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-15 21:02:21,814 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ZESPOLY
[WARN] 2020-08-15 21:02:21,815 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-15 21:02:21,815 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-15 21:02:21,815 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-15 21:02:21,815 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-15 21:02:21,815 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-15 21:02:21,815 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - ETATY
[WARN] 2020-08-15 21:02:21,816 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-15 21:02:21,816 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-15 21:02:21,816 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-15 21:02:21,816 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-15 21:02:21,816 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-15 21:02:21,816 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-15 21:02:21,816 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - PRACOWNICY
[WARN] 2020-08-15 21:02:27,735 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT COLUMN_NAME FROM ALL_TAB_COLS WHERE TABLE_NAME LIKE '%NAZWISKA%' AND OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:27,735 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT COLUMN_NAME FROM ALL_TAB_COLS WHERE TABLE_NAME LIKE '%NAZWISKA%' AND OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:27,735 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT COLUMN_NAME FROM ALL_TAB_COLS WHERE TABLE_NAME LIKE '%NAZWISKA%' AND OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:27,735 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT COLUMN_NAME FROM ALL_TAB_COLS WHERE TABLE_NAME LIKE '%NAZWISKA%' AND OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:27,735 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT COLUMN_NAME FROM ALL_TAB_COLS WHERE TABLE_NAME LIKE '%NAZWISKA%' AND OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:27,735 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT COLUMN_NAME FROM ALL_TAB_COLS WHERE TABLE_NAME LIKE '%NAZWISKA%' AND OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:27,735 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT COLUMN_NAME FROM ALL_TAB_COLS WHERE TABLE_NAME LIKE '%NAZWISKA%' AND OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:27,735 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - SELECT COLUMN_NAME FROM ALL_TAB_COLS WHERE TABLE_NAME LIKE '%NAZWISKA%' AND OWNER LIKE '%TOMEK%'
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
[WARN] 2020-08-15 21:02:27,768 pl.venustus.OracleDataModify.Service.OracleServices makeLogger - NAZWISKO
